Symbol,Mutations,Samples,Samples (%),Cohorts
TP53,846,820,30.25,12
PIK3CA,866,802,29.58,11
KMT2C,205,184,6.79,10
GATA3,63,179,6.6,3
CDH1,176,176,6.49,8
MAP3K1,126,149,5.5,6
ESR1,129,108,3.98,2
PTEN,105,105,3.87,6
AKT1,88,86,3.17,6
NCOR1,89,76,2.8,5
ARID1A,76,76,2.8,7
MAP2K4,72,75,2.77,5
FOXA1,72,70,2.58,4
TBX3,54,65,2.4,5
NF1,85,65,2.4,4
ERBB2,83,60,2.21,3
RB1,60,55,2.03,4
CBFB,64,53,1.95,6
SF3B1,56,50,1.84,5
KMT2D,99,43,1.59,3
FAT3,112,40,1.48,2
ERBB3,55,39,1.44,3
PREX2,73,39,1.44,2
CTCF,47,37,1.36,3
LRP1B,114,36,1.33,3
RUNX1,37,35,1.29,1
PIK3R1,24,32,1.18,3
ATM,64,29,1.07,3
SPEN,74,29,1.07,4
FGFR2,37,27,1,3
BRCA1,49,23,0.85,1
CASP8,28,20,0.74,2
CREBBP,48,17,0.63,2
FBXW7,29,17,0.63,2
BRCA2,52,16,0.59,1
PTPRD,64,16,0.59,3
MYH11,59,16,0.59,1
RGS7,32,15,0.55,2
CDKN2A,17,15,0.55,3
HIST1H3B,27,14,0.52,1
KRAS,15,13,0.48,2
NCOA1,21,13,0.48,1
MYH9,59,12,0.44,1
PTPN13,42,12,0.44,1
ABL2,31,12,0.44,2
CDKN1B,19,11,0.41,2
EPHA3,31,11,0.41,1
NCOR2,44,11,0.41,1
AFF3,37,10,0.37,1
ETV5,16,9,0.33,1
BRAF,22,9,0.33,1
HOXC13,9,8,0.3,1
CACNA1D,53,8,0.3,1
ELN,26,8,0.3,1
ZXDB,18,8,0.3,1
NTRK1,26,8,0.3,1
SALL4,17,7,0.26,1
NOTCH2,75,7,0.26,1
PDGFRB,17,7,0.26,1
SMAD2,17,7,0.26,1
EPAS1,25,7,0.26,1
RHPN2,18,5,0.18,1
SMAD4,17,5,0.18,1
MAX,9,5,0.18,1
HRAS,10,5,0.18,1
ZFHX3,72,5,0.18,1
ERBB4,43,4,0.15,1
CUX1,29,4,0.15,1
MDM4,14,4,0.15,1
KLF4,8,4,0.15,2
GATA1,15,4,0.15,1
HOXD13,10,4,0.15,1
FAT1,61,4,0.15,1
USP6,19,4,0.15,1
DDX3X,23,4,0.15,2
EGFR,45,3,0.11,1
NONO,9,3,0.11,1
MEN1,28,3,0.11,1
MTOR,57,3,0.11,1
GNAS,29,3,0.11,1
ASXL1,36,3,0.11,1
KDM6A,30,3,0.11,1
FAT4,78,3,0.11,1
ARHGEF12,26,3,0.11,1
MYO5A,19,3,0.11,1
POLD1,18,3,0.11,1
KAT6B,37,2,0.07,1
PLAG1,15,2,0.07,1
HSP90AA1,17,2,0.07,1
ZBTB16,11,2,0.07,1
ARID1B,46,2,0.07,1
JAK2,19,2,0.07,1
NIN,44,2,0.07,1
ALK,33,2,0.07,1
NUMA1,33,2,0.07,1
SMARCD1,12,2,0.07,1
GRIN2A,48,2,0.07,1
BAP1,25,2,0.07,1
CLTC,31,2,0.07,1
