Symbol,Mutations,Samples,Samples (%),Cohorts
TP53,482,447,16.79,12
SPOP,192,191,7.18,11
AR,194,176,6.61,4
FOXA1,111,154,5.79,11
KMT2C,122,138,5.18,10
KMT2D,130,106,3.98,7
ATM,97,85,3.19,9
PTEN,92,82,3.08,11
APC,80,80,3.01,7
CDK12,85,68,2.55,8
LRP1B,147,63,2.37,6
CTNNB1,68,61,2.29,6
PIK3CA,56,49,1.84,7
BRCA2,60,47,1.77,4
MED12,64,41,1.54,5
KDM6A,48,30,1.13,7
RB1,40,28,1.05,3
AKT1,23,17,0.64,4
MYH11,33,16,0.6,2
SPEN,43,14,0.53,2
BRAF,24,14,0.53,2
PIK3CB,26,12,0.45,2
CASZ1,50,12,0.45,1
ZFHX3,83,12,0.45,1
SETD2,23,11,0.41,2
FAT3,120,11,0.41,2
CDKN1B,25,10,0.38,3
SMAD4,18,10,0.38,2
RNF43,23,10,0.38,3
FOXP1,23,9,0.34,2
NCOR1,38,8,0.3,1
ALK,24,8,0.3,1
HRAS,19,8,0.3,2
STRN,13,7,0.26,1
CUL3,27,7,0.26,2
SUZ12,10,7,0.26,2
ZNF429,25,7,0.26,1
PRDM1,16,7,0.26,1
NCOR2,41,7,0.26,2
IDH1,17,7,0.26,2
ERG,24,7,0.26,1
CNOT3,24,6,0.23,2
NOTCH2,25,5,0.19,2
EHD2,12,5,0.19,1
AKT3,7,5,0.19,1
MECOM,22,5,0.19,1
FAM174B,10,5,0.19,1
ZBTB16,21,5,0.19,1
SMARCA1,23,5,0.19,1
FAT4,136,5,0.19,1
LZTR1,22,4,0.15,1
KRAS,16,4,0.15,1
DNMT3A,19,4,0.15,1
U2AF1,12,4,0.15,1
EPHA3,38,4,0.15,1
NRAS,5,4,0.15,1
PTPRD,53,4,0.15,1
RBFOX1,33,4,0.15,1
FGFR1,16,4,0.15,1
RNF213,65,4,0.15,1
BRD4,17,3,0.11,1
PMS2,7,3,0.11,1
ERBB3,15,3,0.11,1
KAT6B,29,3,0.11,1
SF3B1,27,3,0.11,1
TRIM24,9,3,0.11,1
ASXL1,23,3,0.11,1
KAT6A,17,3,0.11,1
FAT1,73,3,0.11,1
KMT2A,40,3,0.11,1
USP6,19,3,0.11,1
RANBP2,37,2,0.08,1
PREX2,50,2,0.08,1
ARID1A,37,2,0.08,1
JAK1,28,2,0.08,1
DCAF12L2,15,2,0.08,1
EPS15,11,2,0.08,1
SOX21,8,2,0.08,1
EIF1AX,9,2,0.08,1
XPO1,18,2,0.08,1
RHOA,10,2,0.08,1
RUNX1T1,24,2,0.08,1
